sum,A,B,t0
2792901376.00, 0, 0, 35.6382
2792901376.00, 0, 8, 35.3522
2792901376.00, 0, 16, 35.3113
2792901376.00, 0, 24, 35.4516
2792901376.00, 0, 32, 35.3761
2792901376.00, 0, 40, 35.5336
2792901376.00, 0, 48, 35.3526
2792901376.00, 0, 56, 35.4139
2792901376.00, 0, 64, 35.2520
2792901376.00, 0, 72, 35.4688
2792901376.00, 0, 80, 35.4685
2792901376.00, 0, 88, 35.1880
2792901376.00, 0, 96, 35.5022
2792901376.00, 0, 104, 35.3706
2792901376.00, 0, 112, 35.6614
2792901376.00, 0, 120, 35.4908
2792901376.00, 0, 128, 35.4992
2792901376.00, 8, 0, 35.5447
2792901376.00, 8, 8, 33.7502
2792901376.00, 8, 16, 30.2749
2792901376.00, 8, 24, 29.5913
2792901376.00, 8, 32, 28.8544
2792901376.00, 8, 40, 28.8907
2792901376.00, 8, 48, 28.5100
2792901376.00, 8, 56, 28.4830
2792901376.00, 8, 64, 28.3046
2792901376.00, 8, 72, 28.0809
2792901376.00, 8, 80, 28.0429
2792901376.00, 8, 88, 27.9436
2792901376.00, 8, 96, 27.9864
2792901376.00, 8, 104, 27.9221
2792901376.00, 8, 112, 27.9322
2792901376.00, 8, 120, 27.8567
2792901376.00, 8, 128, 27.7400
2792901376.00, 16, 0, 36.4713
2792901376.00, 16, 8, 36.3298
2792901376.00, 16, 16, 35.5900
2792901376.00, 16, 24, 35.3536
2792901376.00, 16, 32, 35.2320
2792901376.00, 16, 40, 35.1300
2792901376.00, 16, 48, 35.0743
2792901376.00, 16, 56, 35.0348
2792901376.00, 16, 64, 35.0150
2792901376.00, 16, 72, 34.9943
2792901376.00, 16, 80, 34.9736
2792901376.00, 16, 88, 34.9657
2792901376.00, 16, 96, 34.9498
2792901376.00, 16, 104, 34.9438
2792901376.00, 16, 112, 34.9317
2792901376.00, 16, 120, 34.9247
2792901376.00, 16, 128, 34.9167
2792901376.00, 24, 0, 36.3982
2792901376.00, 24, 8, 89.4936
2792901376.00, 24, 16, 89.1800
2792901376.00, 24, 24, 89.0062
2792901376.00, 24, 32, 88.9553
2792901376.00, 24, 40, 88.8932
2792901376.00, 24, 48, 88.9011
2792901376.00, 24, 56, 88.8595
2792901376.00, 24, 64, 88.8820
2792901376.00, 24, 72, 88.8530
2792901376.00, 24, 80, 88.8632
2792901376.00, 24, 88, 88.8437
2792901376.00, 24, 96, 88.8553
2792901376.00, 24, 104, 88.8438
2792901376.00, 24, 112, 88.8533
2792901376.00, 24, 120, 88.8352
2792901376.00, 24, 128, 88.8441
2792901376.00, 32, 0, 36.4278
2792901376.00, 32, 8, 90.0417
2792901376.00, 32, 16, 89.7857
2792901376.00, 32, 24, 89.6513
2792901376.00, 32, 32, 89.6365
2792901376.00, 32, 40, 89.5883
2792901376.00, 32, 48, 89.5939
2792901376.00, 32, 56, 89.5599
2792901376.00, 32, 64, 89.5560
2792901376.00, 32, 72, 89.5288
2792901376.00, 32, 80, 89.5337
2792901376.00, 32, 88, 89.5242
2792901376.00, 32, 96, 89.5186
2792901376.00, 32, 104, 89.5166
2792901376.00, 32, 112, 89.5165
2792901376.00, 32, 120, 89.5094
2792901376.00, 32, 128, 89.5250
2792901376.00, 40, 0, 35.6918
2792901376.00, 40, 8, 90.3994
2792901376.00, 40, 16, 90.1775
2792901376.00, 40, 24, 90.0670
2792901376.00, 40, 32, 90.0387
2792901376.00, 40, 40, 90.0113
2792901376.00, 40, 48, 90.0001
2792901376.00, 40, 56, 89.9851
2792901376.00, 40, 64, 89.9745
2792901376.00, 40, 72, 89.9647
2792901376.00, 40, 80, 89.9592
2792901376.00, 40, 88, 89.9587
2792901376.00, 40, 96, 89.9582
2792901376.00, 40, 104, 89.9537
2792901376.00, 40, 112, 90.0251
2792901376.00, 40, 120, 89.9552
2792901376.00, 40, 128, 89.9499
2792901376.00, 48, 0, 35.3493
2792901376.00, 48, 8, 90.9039
2792901376.00, 48, 16, 90.6867
2792901376.00, 48, 24, 90.5968
2792901376.00, 48, 32, 90.5676
2792901376.00, 48, 40, 90.5454
2792901376.00, 48, 48, 90.5301
2792901376.00, 48, 56, 90.5233
2792901376.00, 48, 64, 90.5154
2792901376.00, 48, 72, 90.5171
2792901376.00, 48, 80, 90.5263
2792901376.00, 48, 88, 90.5328
2792901376.00, 48, 96, 90.5519
2792901376.00, 48, 104, 90.4872
2792901376.00, 48, 112, 90.4853
2792901376.00, 48, 120, 90.4832
2792901376.00, 48, 128, 90.4800
2792901376.00, 56, 0, 36.8744
2792901376.00, 56, 8, 90.9589
2792901376.00, 56, 16, 90.7797
2792901376.00, 56, 24, 90.7067
2792901376.00, 56, 32, 90.6782
2792901376.00, 56, 40, 90.6598
2792901376.00, 56, 48, 90.6516
2792901376.00, 56, 56, 90.6443
2792901376.00, 56, 64, 90.6323
2792901376.00, 56, 72, 90.6323
2792901376.00, 56, 80, 90.6255
2792901376.00, 56, 88, 90.6235
2792901376.00, 56, 96, 90.6146
2792901376.00, 56, 104, 90.6200
2792901376.00, 56, 112, 90.6114
2792901376.00, 56, 120, 90.6140
2792901376.00, 56, 128, 90.6085
2792901376.00, 64, 0, 35.9604
2792901376.00, 64, 8, 90.9562
2792901376.00, 64, 16, 90.8250
2792901376.00, 64, 24, 90.7885
2792901376.00, 64, 32, 90.7229
2792901376.00, 64, 40, 90.7157
2792901376.00, 64, 48, 90.7074
2792901376.00, 64, 56, 90.7015
2792901376.00, 64, 64, 90.7037
2792901376.00, 64, 72, 90.6927
2792901376.00, 64, 80, 90.6795
2792901376.00, 64, 88, 90.6725
2792901376.00, 64, 96, 90.6731
2792901376.00, 64, 104, 90.6772
2792901376.00, 64, 112, 90.6893
2792901376.00, 64, 120, 90.6778
2792901376.00, 64, 128, 90.6560
2792901376.00, 72, 0, 36.6451
2792901376.00, 72, 8, 90.9337
2792901376.00, 72, 16, 90.8072
2792901376.00, 72, 24, 93.0105
2792901376.00, 72, 32, 90.7543
2792901376.00, 72, 40, 90.7480
2792901376.00, 72, 48, 90.6956
2792901376.00, 72, 56, 90.7003
2792901376.00, 72, 64, 90.7055
2792901376.00, 72, 72, 90.6940
2792901376.00, 72, 80, 90.6963
2792901376.00, 72, 88, 90.6762
2792901376.00, 72, 96, 90.6716
2792901376.00, 72, 104, 90.6725
2792901376.00, 72, 112, 90.6642
2792901376.00, 72, 120, 90.6652
2792901376.00, 72, 128, 90.6723
2792901376.00, 80, 0, 35.5273
2792901376.00, 80, 8, 90.9456
2792901376.00, 80, 16, 90.8533
2792901376.00, 80, 24, 90.7781
2792901376.00, 80, 32, 90.6894
2792901376.00, 80, 40, 90.6860
2792901376.00, 80, 48, 90.6733
2792901376.00, 80, 56, 90.6696
2792901376.00, 80, 64, 90.6628
2792901376.00, 80, 72, 90.6549
2792901376.00, 80, 80, 90.6543
2792901376.00, 80, 88, 90.6465
2792901376.00, 80, 96, 90.6448
2792901376.00, 80, 104, 90.6470
2792901376.00, 80, 112, 90.6608
2792901376.00, 80, 120, 90.7228
2792901376.00, 80, 128, 90.7183
2792901376.00, 88, 0, 37.0121
2792901376.00, 88, 8, 91.0538
2792901376.00, 88, 16, 90.9062
2792901376.00, 88, 24, 90.8688
2792901376.00, 88, 32, 90.8365
2792901376.00, 88, 40, 90.8323
2792901376.00, 88, 48, 90.8272
2792901376.00, 88, 56, 90.8217
2792901376.00, 88, 64, 90.8088
2792901376.00, 88, 72, 90.8070
2792901376.00, 88, 80, 90.7994
2792901376.00, 88, 88, 90.7999
2792901376.00, 88, 96, 90.7946
2792901376.00, 88, 104, 90.7902
2792901376.00, 88, 112, 90.7921
2792901376.00, 88, 120, 90.7892
2792901376.00, 88, 128, 90.7927
2792901376.00, 96, 0, 36.9431
2792901376.00, 96, 8, 91.1766
2792901376.00, 96, 16, 91.0552
2792901376.00, 96, 24, 91.0524
2792901376.00, 96, 32, 91.0193
2792901376.00, 96, 40, 91.0319
2792901376.00, 96, 48, 91.0168
2792901376.00, 96, 56, 90.9981
2792901376.00, 96, 64, 91.0035
2792901376.00, 96, 72, 90.9992
2792901376.00, 96, 80, 90.9975
2792901376.00, 96, 88, 91.0068
2792901376.00, 96, 96, 90.9888
2792901376.00, 96, 104, 90.9925
2792901376.00, 96, 112, 90.9902
2792901376.00, 96, 120, 91.1296
2792901376.00, 96, 128, 91.0555
2792901376.00, 104, 0, 35.5102
2792901376.00, 104, 8, 91.3660
2792901376.00, 104, 16, 91.1974
2792901376.00, 104, 24, 91.1578
2792901376.00, 104, 32, 91.1699
2792901376.00, 104, 40, 91.1689
2792901376.00, 104, 48, 91.1769
2792901376.00, 104, 56, 91.1743
2792901376.00, 104, 64, 91.2445
2792901376.00, 104, 72, 91.2607
2792901376.00, 104, 80, 91.1705
2792901376.00, 104, 88, 91.0919
2792901376.00, 104, 96, 91.1326
2792901376.00, 104, 104, 91.1319
2792901376.00, 104, 112, 91.1379
2792901376.00, 104, 120, 91.1445
2792901376.00, 104, 128, 91.1378
2792901376.00, 112, 0, 36.5074
2792901376.00, 112, 8, 91.6916
2792901376.00, 112, 16, 91.7280
2792901376.00, 112, 24, 91.6175
2792901376.00, 112, 32, 91.5357
2792901376.00, 112, 40, 91.4986
2792901376.00, 112, 48, 91.5709
2792901376.00, 112, 56, 91.5297
2792901376.00, 112, 64, 91.5387
2792901376.00, 112, 72, 91.5215
2792901376.00, 112, 80, 91.5165
2792901376.00, 112, 88, 91.4797
2792901376.00, 112, 96, 91.5064
2792901376.00, 112, 104, 91.6327
2792901376.00, 112, 112, 91.5330
2792901376.00, 112, 120, 91.6507
2792901376.00, 112, 128, 91.6322
2792901376.00, 120, 0, 36.7113
2792901376.00, 120, 8, 92.0914
2792901376.00, 120, 16, 91.9981
2792901376.00, 120, 24, 91.9824
2792901376.00, 120, 32, 92.1100
2792901376.00, 120, 40, 91.9258
2792901376.00, 120, 48, 91.9265
2792901376.00, 120, 56, 91.8589
2792901376.00, 120, 64, 91.8398
2792901376.00, 120, 72, 91.8602
2792901376.00, 120, 80, 91.9664
2792901376.00, 120, 88, 91.8415
2792901376.00, 120, 96, 91.8304
2792901376.00, 120, 104, 91.8938
2792901376.00, 120, 112, 91.9991
2792901376.00, 120, 120, 91.9896
2792901376.00, 120, 128, 91.9933
2792901376.00, 128, 0, 35.5083
2792901376.00, 128, 8, 93.0075
2792901376.00, 128, 16, 92.9184
2792901376.00, 128, 24, 92.9100
2792901376.00, 128, 32, 92.9037
2792901376.00, 128, 40, 92.8910
2792901376.00, 128, 48, 92.9304
2792901376.00, 128, 56, 92.8941
2792901376.00, 128, 64, 92.9275
2792901376.00, 128, 72, 92.9153
2792901376.00, 128, 80, 93.1202
2792901376.00, 128, 88, 92.8351
2792901376.00, 128, 96, 92.8505
2792901376.00, 128, 104, 92.8053
2792901376.00, 128, 112, 92.8701
2792901376.00, 128, 120, 92.9796
2792901376.00, 128, 128, 93.0070