sum,A,B,t0,t1,t2
139950080.00, 0, 0, 0.6133, 0.6057, 0.6098
139950080.00, 0, 8, 0.6114, 0.6033, 0.6057
139950080.00, 0, 16, 0.6087, 0.6239, 0.6003
139950080.00, 0, 24, 0.6000, 0.5993, 0.6079
139950080.00, 0, 32, 0.6097, 0.5946, 0.5968
139950080.00, 0, 40, 0.5932, 0.6033, 0.6120
139950080.00, 0, 48, 0.5928, 0.5951, 0.5949
139950080.00, 0, 56, 0.6049, 0.6137, 0.5937
139950080.00, 0, 64, 0.6024, 0.5939, 0.6061
139950080.00, 0, 72, 0.6117, 0.5999, 0.5990
139950080.00, 0, 80, 0.5968, 0.6177, 0.6041
139950080.00, 0, 88, 0.6051, 0.6033, 0.5985
139950080.00, 0, 96, 0.5798, 0.5793, 0.5783
139950080.00, 0, 104, 0.5780, 0.5949, 0.5993
139950080.00, 0, 112, 0.6180, 0.5992, 0.6140
139950080.00, 0, 120, 0.6007, 0.6226, 0.6047
139950080.00, 0, 128, 0.6115, 0.6003, 0.6022
139950080.00, 8, 0, 0.6201, 0.5999, 0.6030
139950080.00, 8, 8, 0.3852, 0.3754, 0.3740
139950080.00, 8, 16, 0.3462, 0.3448, 0.3319
139950080.00, 8, 24, 0.3285, 0.3293, 0.3197
139950080.00, 8, 32, 0.3208, 0.3155, 0.3141
139950080.00, 8, 40, 0.3066, 0.2998, 0.3074
139950080.00, 8, 48, 0.2959, 0.2887, 0.2933
139950080.00, 8, 56, 0.2808, 0.2858, 0.2825
139950080.00, 8, 64, 0.2769, 0.2770, 0.2753
139950080.00, 8, 72, 0.2750, 0.2725, 0.2752
139950080.00, 8, 80, 0.2713, 0.2754, 0.2710
139950080.00, 8, 88, 0.2709, 0.2689, 0.2712
139950080.00, 8, 96, 0.2714, 0.2694, 0.2727
139950080.00, 8, 104, 0.2660, 0.2688, 0.2659
139950080.00, 8, 112, 0.2680, 0.2655, 0.2680
139950080.00, 8, 120, 0.2753, 0.2757, 0.2757
139950080.00, 8, 128, 0.2758, 0.2757, 0.2745
139950080.00, 16, 0, 0.5902, 0.5940, 0.5969
139950080.00, 16, 8, 0.3492, 0.3545, 0.3562
139950080.00, 16, 16, 0.3084, 0.3164, 0.3247
139950080.00, 16, 24, 0.3014, 0.3196, 0.3280
139950080.00, 16, 32, 0.2909, 0.3269, 0.3026
139950080.00, 16, 40, 0.3067, 0.3233, 0.2789
139950080.00, 16, 48, 0.3052, 0.2948, 0.2830
139950080.00, 16, 56, 0.2861, 0.2693, 0.2855
139950080.00, 16, 64, 0.2643, 0.2891, 0.2797
139950080.00, 16, 72, 0.2846, 0.2825, 0.2781
139950080.00, 16, 80, 0.2841, 0.2705, 0.2807
139950080.00, 16, 88, 0.2614, 0.2732, 0.2568
139950080.00, 16, 96, 0.2733, 0.2694, 0.2573
139950080.00, 16, 104, 0.2545, 0.2549, 0.2546
139950080.00, 16, 112, 0.2537, 0.2536, 0.2533
139950080.00, 16, 120, 0.2518, 0.2513, 0.2551
139950080.00, 16, 128, 0.2520, 0.2534, 0.2637
139950080.00, 24, 0, 0.5942, 0.6058, 0.6029
139950080.00, 24, 8, 0.3386, 0.3511, 0.3544
139950080.00, 24, 16, 0.3064, 0.3215, 0.3394
139950080.00, 24, 24, 0.2772, 0.3036, 0.2837
139950080.00, 24, 32, 0.2951, 0.3045, 0.2736
139950080.00, 24, 40, 0.2982, 0.2813, 0.3064
139950080.00, 24, 48, 0.2776, 0.2807, 0.2834
139950080.00, 24, 56, 0.2561, 0.2813, 0.2729
139950080.00, 24, 64, 0.2826, 0.2541, 0.2803
139950080.00, 24, 72, 0.2664, 0.2731, 0.2723
139950080.00, 24, 80, 0.2658, 0.2749, 0.2613
139950080.00, 24, 88, 0.2684, 0.2478, 0.2671
139950080.00, 24, 96, 0.2481, 0.2617, 0.2570
139950080.00, 24, 104, 0.2733, 0.2552, 0.2799
139950080.00, 24, 112, 0.2478, 0.2600, 0.2461
139950080.00, 24, 120, 0.2578, 0.2460, 0.2645
139950080.00, 24, 128, 0.2568, 0.2601, 0.2497
139950080.00, 32, 0, 0.6147, 0.5990, 0.5953
139950080.00, 32, 8, 0.3590, 0.3323, 0.3468
139950080.00, 32, 16, 0.3272, 0.2928, 0.3387
139950080.00, 32, 24, 0.3162, 0.2777, 0.3155
139950080.00, 32, 32, 0.2892, 0.2963, 0.3119
139950080.00, 32, 40, 0.2753, 0.3101, 0.2783
139950080.00, 32, 48, 0.3093, 0.3089, 0.2743
139950080.00, 32, 56, 0.2986, 0.2700, 0.2995
139950080.00, 32, 64, 0.2804, 0.2846, 0.2954
139950080.00, 32, 72, 0.2690, 0.2943, 0.2659
139950080.00, 32, 80, 0.2894, 0.2673, 0.2845
139950080.00, 32, 88, 0.2795, 0.2667, 0.2849
139950080.00, 32, 96, 0.2602, 0.2851, 0.2597
139950080.00, 32, 104, 0.2911, 0.2627, 0.2862
139950080.00, 32, 112, 0.2756, 0.2783, 0.2854
139950080.00, 32, 120, 0.2599, 0.2829, 0.2589
139950080.00, 32, 128, 0.2836, 0.2569, 0.2861
139950080.00, 40, 0, 0.5977, 0.5977, 0.5975
139950080.00, 40, 8, 0.3350, 0.3396, 0.3357
139950080.00, 40, 16, 0.3159, 0.3025, 0.2976
139950080.00, 40, 24, 0.2924, 0.2881, 0.2851
139950080.00, 40, 32, 0.2835, 0.2805, 0.2908
139950080.00, 40, 40, 0.2794, 0.2978, 0.2950
139950080.00, 40, 48, 0.2938, 0.3003, 0.2907
139950080.00, 40, 56, 0.3071, 0.2975, 0.2930
139950080.00, 40, 64, 0.3005, 0.2829, 0.3040
139950080.00, 40, 72, 0.2898, 0.2896, 0.3143
139950080.00, 40, 80, 0.2696, 0.3122, 0.2708
139950080.00, 40, 88, 0.3031, 0.2942, 0.2798
139950080.00, 40, 96, 0.3089, 0.2776, 0.3021
139950080.00, 40, 104, 0.2823, 0.2912, 0.3070
139950080.00, 40, 112, 0.2701, 0.3113, 0.2752
139950080.00, 40, 120, 0.2921, 0.2843, 0.2774
139950080.00, 40, 128, 0.2969, 0.2652, 0.2970
139950080.00, 48, 0, 0.5961, 0.5926, 0.5933
139950080.00, 48, 8, 0.3876, 0.3612, 0.3452
139950080.00, 48, 16, 0.3422, 0.3610, 0.3798
139950080.00, 48, 24, 0.3738, 0.3816, 0.3718
139950080.00, 48, 32, 0.3544, 0.3179, 0.3601
139950080.00, 48, 40, 0.3559, 0.3145, 0.3415
139950080.00, 48, 48, 0.3463, 0.3105, 0.3463
139950080.00, 48, 56, 0.3455, 0.3092, 0.3387
139950080.00, 48, 64, 0.3400, 0.2997, 0.3351
139950080.00, 48, 72, 0.3460, 0.3037, 0.3412
139950080.00, 48, 80, 0.3347, 0.2961, 0.3349
139950080.00, 48, 88, 0.3310, 0.3011, 0.3336
139950080.00, 48, 96, 0.3202, 0.3116, 0.3380
139950080.00, 48, 104, 0.3067, 0.3184, 0.3254
139950080.00, 48, 112, 0.2973, 0.3318, 0.3322
139950080.00, 48, 120, 0.2981, 0.3397, 0.3299
139950080.00, 48, 128, 0.3079, 0.3379, 0.3265
139950080.00, 56, 0, 0.6059, 0.5951, 0.5936
139950080.00, 56, 8, 0.3973, 0.3947, 0.3632
139950080.00, 56, 16, 0.3672, 0.3972, 0.3976
139950080.00, 56, 24, 0.3738, 0.3735, 0.4028
139950080.00, 56, 32, 0.3811, 0.3536, 0.3461
139950080.00, 56, 40, 0.3726, 0.3700, 0.3301
139950080.00, 56, 48, 0.3616, 0.3783, 0.3697
139950080.00, 56, 56, 0.3287, 0.3673, 0.3704
139950080.00, 56, 64, 0.3231, 0.3625, 0.3604
139950080.00, 56, 72, 0.3350, 0.3396, 0.3532
139950080.00, 56, 80, 0.3465, 0.3249, 0.3554
139950080.00, 56, 88, 0.3447, 0.3149, 0.3404
139950080.00, 56, 96, 0.3434, 0.3197, 0.3447
139950080.00, 56, 104, 0.3333, 0.3069, 0.3371
139950080.00, 56, 112, 0.3571, 0.3221, 0.3574
139950080.00, 56, 120, 0.3497, 0.3167, 0.3436
139950080.00, 56, 128, 0.3450, 0.3135, 0.3481
139950080.00, 64, 0, 0.5978, 0.5995, 0.6276
139950080.00, 64, 8, 0.3551, 0.3885, 0.3937
139950080.00, 64, 16, 0.3860, 0.3491, 0.3759
139950080.00, 64, 24, 0.3903, 0.3765, 0.3369
139950080.00, 64, 32, 0.3722, 0.3770, 0.3703
139950080.00, 64, 40, 0.3331, 0.3714, 0.3707
139950080.00, 64, 48, 0.3521, 0.3607, 0.3801
139950080.00, 64, 56, 0.3767, 0.3378, 0.3703
139950080.00, 64, 64, 0.3723, 0.3638, 0.3407
139950080.00, 64, 72, 0.3602, 0.3593, 0.3257
139950080.00, 64, 80, 0.3559, 0.3597, 0.3353
139950080.00, 64, 88, 0.3303, 0.3524, 0.3367
139950080.00, 64, 96, 0.3276, 0.3474, 0.3349
139950080.00, 64, 104, 0.3230, 0.3448, 0.3325
139950080.00, 64, 112, 0.3456, 0.3519, 0.3348
139950080.00, 64, 120, 0.3236, 0.3284, 0.3297
139950080.00, 64, 128, 0.3218, 0.3312, 0.3260
139950080.00, 72, 0, 0.5795, 0.5791, 0.5758
139950080.00, 72, 8, 0.3671, 0.3570, 0.3611
139950080.00, 72, 16, 0.3514, 0.3483, 0.3463
139950080.00, 72, 24, 0.3525, 0.3517, 0.3684
139950080.00, 72, 32, 0.3530, 0.3566, 0.3504
139950080.00, 72, 40, 0.3428, 0.3575, 0.3551
139950080.00, 72, 48, 0.3392, 0.3508, 0.3538
139950080.00, 72, 56, 0.3322, 0.4272, 0.3693
139950080.00, 72, 64, 0.3565, 0.3336, 0.3434
139950080.00, 72, 72, 0.3355, 0.3320, 0.3301
139950080.00, 72, 80, 0.3365, 0.3332, 0.3230
139950080.00, 72, 88, 0.3275, 0.3224, 0.3357
139950080.00, 72, 96, 0.3302, 0.3188, 0.3352
139950080.00, 72, 104, 0.3466, 0.3346, 0.3469
139950080.00, 72, 112, 0.3627, 0.3575, 0.3526
139950080.00, 72, 120, 0.3574, 0.3508, 0.3388
139950080.00, 72, 128, 0.3473, 0.3480, 0.3338
139950080.00, 80, 0, 0.6084, 0.5978, 0.5966
139950080.00, 80, 8, 0.4034, 0.3818, 0.3716
139950080.00, 80, 16, 0.3832, 0.3840, 0.3735
139950080.00, 80, 24, 0.3590, 0.3851, 0.3885
139950080.00, 80, 32, 0.3922, 0.3422, 0.3877
139950080.00, 80, 40, 0.3781, 0.3603, 0.3449
139950080.00, 80, 48, 0.3731, 0.3717, 0.3341
139950080.00, 80, 56, 0.3573, 0.3658, 0.3374
139950080.00, 80, 64, 0.3264, 0.3292, 0.3255
139950080.00, 80, 72, 0.3226, 0.3222, 0.3175
139950080.00, 80, 80, 0.3188, 0.3209, 0.3305
139950080.00, 80, 88, 0.3158, 0.3147, 0.3103
139950080.00, 80, 96, 0.3148, 0.3249, 0.3187
139950080.00, 80, 104, 0.3411, 0.3295, 0.3311
139950080.00, 80, 112, 0.3335, 0.3291, 0.3305
139950080.00, 80, 120, 0.3348, 0.3284, 0.3293
139950080.00, 80, 128, 0.3294, 0.3241, 0.3344
139950080.00, 88, 0, 0.5809, 0.5842, 0.5802
139950080.00, 88, 8, 0.3612, 0.3631, 0.3624
139950080.00, 88, 16, 0.3474, 0.3475, 0.3505
139950080.00, 88, 24, 0.3427, 0.3387, 0.3496
139950080.00, 88, 32, 0.3491, 0.3499, 0.3543
139950080.00, 88, 40, 0.3383, 0.3300, 0.3345
139950080.00, 88, 48, 0.3348, 0.3277, 0.3334
139950080.00, 88, 56, 0.3299, 0.3252, 0.3322
139950080.00, 88, 64, 0.3311, 0.3242, 0.3298
139950080.00, 88, 72, 0.3303, 0.3247, 0.3322
139950080.00, 88, 80, 0.3304, 0.3236, 0.3316
139950080.00, 88, 88, 0.3217, 0.3163, 0.3232
139950080.00, 88, 96, 0.3294, 0.3257, 0.3320
139950080.00, 88, 104, 0.3422, 0.3399, 0.3469
139950080.00, 88, 112, 0.3412, 0.3403, 0.3432
139950080.00, 88, 120, 0.3488, 0.3353, 0.3488
139950080.00, 88, 128, 0.3431, 0.3326, 0.3437
139950080.00, 96, 0, 0.5895, 0.5924, 0.5816
139950080.00, 96, 8, 0.3857, 0.3896, 0.3930
139950080.00, 96, 16, 0.3764, 0.3725, 0.3749
139950080.00, 96, 24, 0.3753, 0.3729, 0.3680
139950080.00, 96, 32, 0.3684, 0.3758, 0.3916
139950080.00, 96, 40, 0.3692, 0.3662, 0.3711
139950080.00, 96, 48, 0.3656, 0.3591, 0.3654
139950080.00, 96, 56, 0.3599, 0.3572, 0.3538
139950080.00, 96, 64, 0.3530, 0.3563, 0.3480
139950080.00, 96, 72, 0.3501, 0.3551, 0.3458
139950080.00, 96, 80, 0.3453, 0.3476, 0.3420
139950080.00, 96, 88, 0.3359, 0.3604, 0.3864
139950080.00, 96, 96, 0.3340, 0.3701, 0.3657
139950080.00, 96, 104, 0.3820, 0.3500, 0.3537
139950080.00, 96, 112, 0.3530, 0.3558, 0.3538
139950080.00, 96, 120, 0.3537, 0.3494, 0.3599
139950080.00, 96, 128, 0.3453, 0.3437, 0.3431
139950080.00, 104, 0, 0.5742, 0.5753, 0.5719
139950080.00, 104, 8, 0.3733, 0.3717, 0.3752
139950080.00, 104, 16, 0.3623, 0.3738, 0.3656
139950080.00, 104, 24, 0.3598, 0.3593, 0.3585
139950080.00, 104, 32, 0.3596, 0.3598, 0.3553
139950080.00, 104, 40, 0.3509, 0.3551, 0.3551
139950080.00, 104, 48, 0.3464, 0.3515, 0.3508
139950080.00, 104, 56, 0.3466, 0.3481, 0.3469
139950080.00, 104, 64, 0.3422, 0.3432, 0.3473
139950080.00, 104, 72, 0.3424, 0.3432, 0.3441
139950080.00, 104, 80, 0.3395, 0.3361, 0.3420
139950080.00, 104, 88, 0.3368, 0.3315, 0.3360
139950080.00, 104, 96, 0.3493, 0.3443, 0.3489
139950080.00, 104, 104, 0.3491, 0.3479, 0.3464
139950080.00, 104, 112, 0.3580, 0.3458, 0.3443
139950080.00, 104, 120, 0.3775, 0.3528, 0.3463
139950080.00, 104, 128, 0.3465, 0.3494, 0.3562
139950080.00, 112, 0, 0.5744, 0.5701, 0.5713
139950080.00, 112, 8, 0.3750, 0.3712, 0.3738
139950080.00, 112, 16, 0.3631, 0.3629, 0.3557
139950080.00, 112, 24, 0.3625, 0.3589, 0.3546
139950080.00, 112, 32, 0.3555, 0.3570, 0.3604
139950080.00, 112, 40, 0.3569, 0.3578, 0.3541
139950080.00, 112, 48, 0.3506, 0.3500, 0.3538
139950080.00, 112, 56, 0.3516, 0.3455, 0.3615
139950080.00, 112, 64, 0.3501, 0.3574, 0.3497
139950080.00, 112, 72, 0.3471, 0.3443, 0.3512
139950080.00, 112, 80, 0.3446, 0.3437, 0.3478
139950080.00, 112, 88, 0.3556, 0.3503, 0.3464
139950080.00, 112, 96, 0.3521, 0.3563, 0.3584
139950080.00, 112, 104, 0.3501, 0.3530, 0.3518
139950080.00, 112, 112, 0.3438, 0.3526, 0.3511
139950080.00, 112, 120, 0.3452, 0.3479, 0.3509
139950080.00, 112, 128, 0.3473, 0.3494, 0.3572
139950080.00, 120, 0, 0.5727, 0.5718, 0.5737
139950080.00, 120, 8, 0.3811, 0.3808, 0.3795
139950080.00, 120, 16, 0.3622, 0.3679, 0.3693
139950080.00, 120, 24, 0.3624, 0.3606, 0.3644
139950080.00, 120, 32, 0.3629, 0.3599, 0.3593
139950080.00, 120, 40, 0.3628, 0.3626, 0.3573
139950080.00, 120, 48, 0.3726, 0.3731, 0.3788
139950080.00, 120, 56, 0.3796, 0.3901, 0.3940
139950080.00, 120, 64, 0.3911, 0.3819, 0.3826
139950080.00, 120, 72, 0.3855, 0.3875, 0.3811
139950080.00, 120, 80, 0.3695, 0.3765, 0.3793
139950080.00, 120, 88, 0.3726, 0.3714, 0.3739
139950080.00, 120, 96, 0.3885, 0.3822, 0.3702
139950080.00, 120, 104, 0.3833, 0.3724, 0.3705
139950080.00, 120, 112, 0.3627, 0.3731, 0.4035
139950080.00, 120, 120, 0.3755, 0.3683, 0.3764
139950080.00, 120, 128, 0.3807, 0.3815, 0.3715
139950080.00, 128, 0, 0.5954, 0.5917, 0.5914
139950080.00, 128, 8, 0.3946, 0.3904, 0.3923
139950080.00, 128, 16, 0.3755, 0.3823, 0.3853
139950080.00, 128, 24, 0.3668, 0.3780, 0.3804
139950080.00, 128, 32, 0.3734, 0.3733, 0.3707
139950080.00, 128, 40, 0.3796, 0.3901, 0.3766
139950080.00, 128, 48, 0.3846, 0.3930, 0.3906
139950080.00, 128, 56, 0.3873, 0.3756, 0.3860
139950080.00, 128, 64, 0.3851, 0.3797, 0.3737
139950080.00, 128, 72, 0.3818, 0.3805, 0.3891
139950080.00, 128, 80, 0.3678, 0.3919, 0.3876
139950080.00, 128, 88, 0.3821, 0.3763, 0.3786
139950080.00, 128, 96, 0.3767, 0.3800, 0.3678
139950080.00, 128, 104, 0.3731, 0.3772, 0.3762
139950080.00, 128, 112, 0.3702, 0.3748, 0.3761
139950080.00, 128, 120, 0.3775, 0.3623, 0.3721
139950080.00, 128, 128, 0.3775, 0.3766, 0.3790
